video_id,title,uploader,duration_s,webpage_url,query_tag,query_text,local_path,downloaded_at_utc
ai_runway_01,person reading book by window,local_import,0,,runway,Runway Gen-4 Turbo local AI sample,"dataset\ai_baseline\Gen-4 Turbo - A person sitting still and reading a book by a window, soft natural light, photorealis.mp4",2026-03-29T08:20:00+00:00
ai_runway_02,candle flame,local_import,0,,runway,Runway Gen-4 Turbo local AI sample,"dataset\ai_baseline\Gen-4 Turbo - Close-up of a candle flame in a dark room, very slow movement, cinematic, photorealist.mp4",2026-03-29T08:20:05+00:00
ai_runway_03,portrait woman,local_import,0,,runway,Runway Gen-4 Turbo local AI sample,"dataset\ai_baseline\Gen-4 Turbo - Portrait of a woman looking at camera, slight smile, minimal movement, studio lighting.mp4",2026-03-29T08:20:10+00:00
ai_runway_04,cafe conversation,local_import,0,,runway,Runway Gen-4 Turbo local AI sample,"dataset\ai_baseline\Gen-4 Turbo - Two people having a conversation at a cafe, natural gestures, documentary style, handh.mp4",2026-03-29T08:20:15+00:00
ai_runway_05,city street night,local_import,0,,runway,Runway Gen-4 Turbo local AI sample,"dataset\ai_baseline\Gen-4 Turbo - Busy city street at night, rain reflection on pavement, cinematic, photorealistic.mp4",2026-03-29T08:20:20+00:00
ai_kling_01,waves beach,local_import,0,,kling,Kling local AI sample,dataset\ai_baseline\kling_20260329_VIDEO_Waves_on_a_4237_0.mp4,2026-03-29T08:20:25+00:00
ai_kling_02,forest autumn,local_import,0,,kling,Kling local AI sample,dataset\ai_baseline\kling_20260329_作品_Forest_in__4266_0.mp4,2026-03-29T08:20:30+00:00
ai_kling_03,chef chopping,local_import,0,,kling,Kling local AI sample,dataset\ai_baseline\kling_20260329_作品_A_chef_cho_4274_0.mp4,2026-03-29T08:20:35+00:00
ai_pika_01,dragon fantasy,local_import,0,,pika,Pika local AI sample,"dataset\ai_baseline\A_dragon_flying_over_a_fantasy_castle,_highly_detailed,_cinematic_VFX,_dramatic_lighting_seed3708616898.mp4",2026-03-29T08:20:40+00:00
ai_pika_02,face morphing,local_import,0,,pika,Pika local AI sample,"dataset\ai_baseline\Human_face_morphing_between_different_ethnicities,_smooth_transition,_neutral_background_seed1539451939.mp4",2026-03-29T08:20:45+00:00
ai_pika_03,abstract fluid,local_import,0,,pika,Pika local AI sample,"dataset\ai_baseline\Abstract_fluid_simulation,_neon_colors_morphing_into_each_other,_seamless_loop,_4K_seed1171828005.mp4",2026-03-29T08:20:50+00:00
